input_sd,output_sd
پاڪستان جو اٽارني جنرل ڪير آهي؟,اٽارني جنرل حڪومت پاڪستان جو مکيه قانوني آفيسر آهي.
پاڪستان جو اٽارني جنرل ڪير مقرر ڪري ٿو؟,اٽارني جنرل صدر پاڪستان مقرر ڪري ٿو ۽ پارليامينٽ اڳيان جوابده هوندو آهي.
اٽارني جنرل جا بنيادي فرض ڪهڙا آهن؟,"اٽارني جنرل حڪومت جي وڪالت، قانون جي تحفظ، قانوني مشورا ڏيڻ ۽ پاليسين جي تياري ۾ مدد ڪندو آهي."
سول ڪيسن ۾ حاضري کان مستثنيٰ ڪير آهن؟,"سول ڪيسن ۾ نابالغ، ذهني بيمار، شديد خطري ۾ مبتلا ۽ عدالت جي اجازت سان مستثنيٰ ماڻهو شامل آهن."
مستثنيٰ ماڻهن جا بيان ڪڏهن استعمال ٿيندا؟,"مستثنيٰ ماڻهن جا بيان عام طور تي رڪارڊ تي نه وٺي سگهجن ٿا، صرف خاص حالتن ۾ ڪيس ۾ ثبوت طور."
عدالتون ڪهڙي صورت ۾ مستثنيٰ بيان وٺي سگهن ٿيون؟,عدالتون ائين تڏهن ڪن ٿيون جڏهن فيصلو ڪنهن سنگين ڏوهه جي ملزم جي خلاف هجي.
رڪارڊ تي بيان وٺڻ لاءِ عدالت کي ڇا ثابت ڪرڻو پوندو؟,عدالت کي بيان جي اعتبار ۽ ضرورت کي ثابت ڪرڻو پوندو آهي.
رڪارڊ تي حاضرين جا بيان وٺڻ لاء عدالت کي ثابت ڪرڻا پوندا؟,"غيرحاضر ماڻهن جا بيان رڪارڊ ڪرڻ لاءِ عدالت کي ثابت ڪرڻو پوندو ته بيان قابل اعتبار آهي، متبادل قانوني رستو ناهي، ۽ بيان مقدمي جي فيصلي تي اثرانداز ٿيندو."
سول ڪيسن ۾ حاضري جو استثنا ڇا آهي؟,"سول ڪيسن ۾، ماڻهن ۾ حاضري جي ايجنسي جي لسٽ مختلف ٿي سگهي ٿي ۽ هڪ عام فهرس  پيش ڪري سگهجي ٿي."
جڏهن امن جي پوزيشن کي وڌيڪ نقصان پهچائي ٿو ته ڪهڙو نقصان ٿيندو ته وڌيڪ پيچيده يا اهم ڪيس ٻڌڻ جو وقت ناهي؟,"جڏهن امن جي آفيس وٽ پيچيده يا اهم ڪيسن لاءِ وقت نه هجي، ته انصاف ۾ دير ٿئي ٿي ۽ اهم مامرا حل نٿا ٿين."
امن جي پوزيشن جو فرض ڇا آهي؟,امن جي آفيس جو فرض عدالتي فيصلن جي نگراني ۽ عدالتي نظام جي سربراهي ڪرڻ آهي.
پوليس جو آرڊر 2002 ڇا آهي؟,پوليس آرڊر 2002 پوليس جي ڪم جي طريقيڪار کي منظم ڪرڻ لاءِ قانون آهي.
پوليس جي ذميواري ڇا آهي؟,پوليس جي ذميواري آهي ته اها عوام سان عزت ۽ احترام سان پيش اچي.
پوليس آرڊر 2002 تحت پوليس کي ڪهڙن ذميواريون ڏنيون ويون آهن؟,"پوليس آرڊر 2002 تحت پوليس کي عوام جي حفاظت، امن برقرار رکڻ، ۽ جاچ ڪرڻ جون ذميواريون ڏنيون ويون آهن."
ثبوت جي ڳولا ڪٿي ٿيندي آهي؟,پوليس ثبوت جي ڳولا ڏوهه واري هنڌ ۽ ان جي ويجهو ڪري ٿي.
شاهدن کان ڇا ورتو ويندو آهي؟,"پوليس شاهدن جا بيان وٺي، ڏوهه جي حقيقت معلوم ڪري ٿي."
مجرم جي ڳولا جو طريقيڪار ڇا آهي؟,پوليس ثبوت ۽ شاهدن جي بيانن جي بنياد تي مجرم کي ڳولي ٿي.
تحقيق جو طريقيڪار ڪيئن آهي؟,"تحقيق جو عمل عام طور تي پيچيده ۽ وقت طلب هوندو آهي، پر اهو مجرم تائين پهچڻ ۾ مدد ڪري ٿو."
ڪرمنل ڪيسن ۾ تحقيق جو ڪردار ڇا آهي؟,فوجداري ڪيسن ۾ تحقيق مجرم جي سڃاڻپ ۽ حقائق جي تصديق لاءِ اهم آهي.
تحقيقاتي ٽيم ڪيئن قائم ڪئي وئي آهي؟,مشڪوڪ فرد جي تحقيق لاءِ آفيسرن ۽ عملدارن تي مشتمل ٽيم ٺاهي ويندي آهي.
جاچ پڙتال ڪرڻ لاء تحقيقاتي ٽيم ڇا آهي؟,تحقيقاتي ٽيم کي منصوبه بندي ڪرڻي پوي ٿي ته مشڪوڪ شخص کان پڇا ڳاڇا ڪري ۽ ثبوت گڏ ڪيا وڃن.
تحقيق ڪڏهن ڪئي ويندي آهي؟,تحقيق ٽيم مشڪوڪ شخص وٽ وڃي سوال پڇي ۽ ثبوت گڏ ڪري ٿي.
تحقيق جي رپورٽ ڇا تي مشتمل ھوندي آهي؟,"تحقيقاتي رپورٽ ۾ ڪارروائي جي تفصيل، ثبوت ۽ نتيجا شامل هوندا آهن."
تحقيق جو طريقيڪارڪهڙن قانون تحت ھوندوآھي؟,تحقيق جو طريقو قومي قانونن ۽ عدالتي هدايتن تحت طئي ٿيندو آهي.
"گرفتاري، حراست جي گرفتاري، ۽ ضبط جا قانون ۽ طريقا ڇا آهن؟","گرفتاري، حراست ۽ ضمانت جا طريقا قومي قانونن ۽ عدالتي حڪمن هيٺ طئي ٿين ٿا."
سمن ڇا آهي؟,"سمن ضابطه ديواني جي تحت هڪ نوٽيس آهي، جنهن سان ڪنهن شخص کي عدالت طلب ڪيو وڃي ٿو."
تعميل سمن ڇا آهي؟,تعميل سمن هڪ دستاويز آهي جنهن سان عدالت جي حڪم تي عمل ڪرڻ لاءِ چيو وڃي ٿو.
سمن ۾ ڇا شامل آهي؟,"سمن ۾ عدالت جي تاريخ، وقت، هنڌ ۽ ضروري دستاويزن جي تفصيل شامل هوندي آهي."
تعميل جي سمن ۾ ڇا شامل آهي؟,تعميل سمن ۾ عدالتي حڪم ۽ ان جي ڀڃڪڙي جا نتيجا شامل هوندا آهن.
سمن ڪنهن کي موڪلي سگهجي ٿو؟,"سمن ڪنهن به فرد کي موڪلي سگهجي ٿو، اهو شاهد هجي يا پارٽي."
سمن ۽ تعميل سمن جو طريقو ڪٿي بيان آهي؟,سمن ۽ تعميل سمن ضابطه ديواني ۾ بيان ڪيل آهن.
سمن ۽ تعميل جا ڪيترا مرحلا موجود آهن؟,"سمن ۽ تعميل سمن ۾ جاري ڪرڻ، پهچائڻ، عدالت ۾ پيش ٿيڻ ۽ غير حاضري تي ڪارروائي شامل آهي."
سمن ۽ تعميل سمن جي اهميت ڇا آهي؟,سمن ۽ تعميل سمن عدالت جي حڪمن تي عمل ڪرائڻ لاءِ اهم آهن.
گرفتاري ڪنهن سان ٿئي ٿي؟,"گرفتاري عام طور پوليس، فوج يا ٻين قانون لاڳو ڪندڙ ادارن طرفان ٿيندي آهي."
حراست ڇا آهي؟,حراست اها حالت آهي جنهن ۾ ملزم کي عدالت ۾ پيش ٿيڻ تائين قيد رکيو ويندو آهي ۽ سندس حقن جو تحفظ ڪيو ويندو آهي.
ضمانت ڇا آهي؟,ضمانت سان ملزم کي مشروط آزادي ملي ٿي ته هو ڪيس جي پيشي ڪندو.
قابل راضي ناما ڏوهه ڇا آهن؟,"اهي ڏوهه جن ۾ متاثر ڌر مجرم کي معاف ڪري ۽ ڪيس ختم ڪرائي سگهي، انهن کي قابل راضي نامه ڏوهه چوندا آهن."
قابل راضي جو ڏوهه ڇا ناهي؟,"ھي قابل راضي نامه  ڏوهه نه آهن جيڪي ڪنهن جسماني يا مالي نقصان پيدا ڪيا آهن، جهڙوڪ: قتل، جنسي زيادتي، جنسي زيادتي."
توهان ڇا رضامندي جي ذريعي اجاگر ڪيو ٿا؟,"رضامندي جي ذريعي، متاثر ڌر اصل واقعي ۽ حقيقتن جي وضاحت ڪري ٿي."
ڇا حالتن ۾ شرطون شامل ڪري سگھن ٿا؟,"ها، رضامندي ۾ شرطون شامل ٿي سگهن ٿيون، جيئن ادائگي يا ٻيون شرطون."
جيڪڏهن رضامندي جي شرطن کي پورو نه ڪيو وڃي؟,جيڪڏهن معاهدي جون شرطون پوريون نه ٿين ته ملزم خلاف ٻيهر قانوني ڪاروائي ٿي سگهي ٿي.
منشیات جي سزا ڪيئن آهن؟,"منشيات جي ڏوهن تي عام طور سخت سزائون، جهڙوڪ ڊگهي قيد يا وڏو ڏنڊ."
منشيات جي تياري جو مطلب ڇا آهي؟,منشيات ٺاهڻ يا تيار ڪرڻ کي منشيات جي تياري چوندا آهن.
منشیات جو استعمال  جو ڇا مطلب آهي؟,منشيات جو استعمال مطلب آهي نشي واري شيءِ کي پاڻ يا ٻئي لاءِ استعمال ڪرڻ.
منشیات جي حراست جو ڇا مطلب آهي؟,منشيات کي پاڻ وٽ رکڻ کي منشيات جي تحويل چوندا آهن.
منشیات جو ڪاروبار ڇا مطلب آهي؟,منشيات جي خريد و فروخت يا واپار ڪرڻ.
منشيات جو جرم  ڇا تي منحصر آهي؟,"منشيات جي ڏوهن جي سزا منشيات جي قسم، مقدار ۽ حالتن تي دارومدار رکي ٿي."
منشيات جا ضابطا ۽ ڏنڊ ڪيئن لڳن ٿا؟,ملڪ ۽ علائقي جي قانونن تي دارومدار رکي مختلف سزائون ٿي سگهن ٿيون.
تحقيق ڪڏهن ڪبي آهن؟,رپورٽ يا شڪايت اچڻ تي معاملي جي تحقيق ڪئي ويندي آهي.
جيڪڏهن ضابطي جي ڪوڊ جي خلاف ورزي ثابت ٿئي ڇا ٿيندو؟,ضابطه اخلاق جي ڀڃڪڙي ثابت ٿيڻ تي تاديبي ڪارروائي ٿي سگهي ٿي.
قانوني ڪارروائي ڪڏهن ٿيندي آهي ؟,"جيڪڏهن ڪنهن جي غفلت سبب ٻين کي نقصان يا موت ٿئي، ته قانوني ڪارروائي ٿي سگهي ٿي."
ڪهڙي قانون جي پيروي ڪرڻ ضروري آهي؟,عملي يا طبي شعبي ۾ قومي قانونن ۽ ضابطه اخلاق جي پيروي لازمي آهي.
قانونِ شہادت مجریہ ڇا بيان ڪري  ٿو ؟,هي قانون عدالتن ۾ شاهدي جي اصولن ۽ قاعدن کي بيان ڪري ٿو.
 شاھد ڇا حاصل ڪري ٿو؟,شاهدي ڏيندڙ کي سچ ڳالهائڻ ۽ عدالتي تحفظ ملندو آهي.
شھادت جي طريقي ۾ ڇا اهم آهي؟,شاهدي ڏيندڙ لاءِ ضروري آهي ته ايمانداري ۽ سچائي سان بيان ڏئي.
  شاھد کي ڪڏهن سزا ڏئي سگهجي ٿي؟,جيڪڏهن ڪو شخص غلط شاهدي ڏئي ته قانون موجب سزا ملي سگهي ٿي.
 شاھد جي شاهدي جي تصديق ڪيئن ٿيندي آهي؟,شاهدي جي تصديق لاءِ عدالت دليل ۽ ثبوت جو جائزو وٺي ٿي.
1984 جي ضابطي جي ڪوڊ ۾ اضافي پوائنٽون ڇا آهن؟,هن قانون ۾ شاهدي جي طريقي متعلق اضافي اصول شامل آهن.
ڇا اهو هڪ ڏوهه آهي غلط شاهدي ڏيڻ؟,"ها، غلط شاهدي ڏيڻ ڏوهه آهي ۽ ان تي سزا ٿي سگهي ٿي."
غلط شاهدي جي ڪيسن ۾ ڇا ڪجي؟,غلط شاهدي جي ڪيسن ۾ عدالت ۾ قانوني ڪارروائي ٿيندي.
غلط شاهدي جو استعمال ڇا ٿي سگهي ٿو؟,غلط شاهدي سان عدالتي نظام تي بي اعتمادي پيدا ٿي سگهي ٿي.
بدنيتي چيڪ لاء قانوني اثر ڇا ٿي سگهن ٿا؟,بدنيتي سان چيڪ جاري ڪرڻ جي سزا قانون موجب طئي ڪئي ويندي آهي.
بدنيتي چيڪ ڇا آهي؟,بدنيتي سان چيڪ جاري ڪرڻ ڏوهه آهي.
بدنيتي چيڪ لاء قانوني ڪارروائي ڪري سگهجي ٿي؟,"ها، بدنيتي سان چيڪ جاري ڪرڻ تي قانوني ڪاروائي ٿي سگهي ٿي."
مجرمانہ غفلت ڇا آهي؟,ڏوهاري غفلت اها آهي جڏهن ڪو پنهنجي ذميواري صحيح نه نڀائي ۽ ڪنهن کي نقصان ٿئي.
ميڊيڪل پروفيشنلز کي ڪهڙي مرحلن ۾ ڏوهاري نظرانداز ڪرڻ جي اجازت ڏيڻ گهرجي؟,ميڊيڪل پروفيسنلز کي گهرجي ته مريضن جي مناسب سنڀال ۽ پيشه ورانه اصولن تي عمل ڪن.
غلط شاهدي ڇا آهي؟,ڪوڙي شاهدي جو مطلب اهو آهي ته ماڻهو هڪ حقيقت کي غلط پيش ڪري ٿو يا جعلي ثبوت يا عدالتي معاملن تي عمل ڪرڻ جي لاء جعلي ثبوت پيش ڪري ٿو.
غلط شاهدي جو استعمال ڪنھن کي متاثر ڪري ٿو؟,غلط شاهدي جو استعمال عدليه جي ساک ۽ منصفانه فيصلن تي اثر انداز ٿئي ٿي.
غلط شاهدي جا ڇا اثرات ٿي سگهن ٿا؟,غلط شاهدي جا ڪيترائي خراب اثر ٿي سگهن ٿا.
زنا جي ڪيسن ۾ تحقيق جو طريقيڪار ڇا ھوندو آهي؟,زنا جي ڪيسن ۾ تحقيق عموماً اعتراض يا شڪايت کانپوءِ شروع ٿئي ٿي.
تحقیقات کان پوء ڇا ٿيندو آھي؟,"تحقيق مڪمل ٿيڻ بعد پوليس وڌيڪ جاچ ڪندي آهي جيئن ته ملزم جي جاچ، شاهديون گڏ ڪرڻ، شاهدن جا بيان، طبي معائنو وغيره."
عدالتي عمل ۾ ڇا ٿيندو آهي؟,"عدالتي عمل ۾ عدالت ڪيس ٻڌي ٿي، شاهدين جو جائزو وٺي ٿي ۽ قانون تحت فيصلو ڪري ٿي."
زنا جي ڪيسن ۾ ڪهڙن عنصرن تي غور ڪري سگهجي ٿو؟,"زنا جي ڪيسن ۾ اعتراض، تحقيق، عدالتي عمل ۽ قانوني پهلوئن تي غور ڪري سگهجي ٿو."
قاتل جا حق ڇا آهن؟,"قاتل جا حق ملڪ جي قانون مطابق هوندا آهن جهڙوڪ وڪيل جو حق، شفاف ٽرائل ۽ اپيل جو حق."
پروبيشن تي آزادي جو قانون 1960 ڇا آهي؟,"پروبيشن تي آزادي جو قانون 1960ء، جنهن تحت معمولي ڏوهن وارن کي جيل بدران پروبيشن تي آزاد ڪيو ويندو آهي."
"زندگي، حقن ۽ امن جي حفاظت لاءِ ڪنهن قاتل خلاف قانوني ڪارروائي ڪيئن شروع ٿيندي آهي؟",قاتل خلاف قانوني ڪاروائي عام طور شڪايت يا ايف آءِ آر کان شروع ٿئي ٿي.
پروبيشن تي آزادي جو قانون 1960 ڇا آهي؟,هن قانون تحت معمولي ڏوهن تي ڪجهه شرطن تي جيل بدران پروبيشن تي ڏوھاري آزاد ڪري سگهن ٿا.
پروبيشن هيٺ ڪهڙيون شرطون مقرر ڪيون ويون آهن؟,"پروبيشن هيٺ مخصوص سرگرميون، نوڪري يا تعليم ۽ خاص علائقي ۾ رهڻ شامل ٿي سگهن ٿا."
 پروبيشن تي رھائي جي قانون ۾ خلاف ورزي تي ڇا ٿي سگهي ٿو؟,جيڪڏهن پروبيشن جي شرطن جي ڀڃڪڙي ٿئي ته ملزم کي ٻيهر جيل موڪلي سگهجي ٿو.
پروبيشن جو پيشنامو ڪنھن کي  پيش ڪيو ويندو آهي؟,پروبيشن جو پيشنامو عدالت ۾ پيش ڪيو ويندو آهي جنهن تي ملزم کي آزاد ڪيو ويندو آهي.
ڪير پروبيشن جي شرطن کي طئي ڪري ٿو؟,پروبيشن جي شرطن کي عدالت طئي ڪري ٿي.
پروبيشن دوران هڪ مشاورتي اداري جو ڪم ڇا آهي؟,پروبيشن دوران مشاورتي اداري جو ڪم ملزم کي مدد ۽ رهنمائي فراهم ڪرڻ آهي.
پروبريشن جو دور ڇا آهي؟,پروبيشن جو عرصو جرم جي نوعيت ۽ ملزم جي حالتن تي دارومدار رکي ٿو.
جعلي دوائن جو واپار ڇا آهي؟,جعلي دوائن جو واپار غيرقانوني آهي ۽ ان تي سخت ڪارروائي ٿيندي آهي.
مجرم جي سزا ڪڏهن وڌائي سگهجي ٿي؟,جيڪڏهن جرم سنگين هجي يا گڏجي ڪيو ويو هجي ته سزا وڌي سگهي ٿي.
جيڪڏھن توھان اغوا جو شڪار ٿيا آھيو ته ڇا ڪرڻ ضروري آھي؟,اغوا ٿيڻ تي فوراً پوليس کي اطلاع ڏيو ته جيئن تحقيق ٿي سگهي.
اغوا ڇا آهي؟,اغوا هڪ ڏوهه آهي جنهن ۾ ڪنهن کي زبردستي يا بنا رضا جي کڻي وڃجي.
پاڪستان ۾ اغوا ڪرڻ لاء ڇا ڪيو ويو آهي؟,پاڪستان ۾ اغوا جي مختلف قسمن لاءِ مختلف سزائون مقرر ڪيون ويون آهن.
اغوا ڪندڙ عام ڇا آهي؟,"جڏهن ڪو شخص بغير رضا جي جنسي تعلق رکي ته اهو اغوا عام آهي، ۽ مختلف سزائون ٿي سگهن ٿيون."
اغوا ڇا آهي؟,"جڏهن ٻه يا وڌيڪ ماڻهو زبردستي جنسي تعلق قائم ڪن ته اهو اغوا بالجبر آهي، جنهن تي سخت سزا ٿئي ٿي."
هڪ ٻار زنا ڇا آهي؟,جڏهن ڪو بالغ شخص ٻار سان بغير رضا جي جنسي تعلق رکي ته اهو ڏوهه آهي ۽ ان تي سخت سزا ٿئي ٿي.
اغواء معياري ڇا آهي؟,ڪجهه ملڪن ۾ مڙس جو بغير زال جي رضا جي جنسي تعلق رکڻ به ڏوهه سمجهيو ويندو آهي.
سرڪار خلاف ڏوهن جا ڪجهه مثال ڇا آهن؟,"رياست خلاف ڏوهن ۾ بغاوت، جاسوسي ۽ قومي سلامتي خلاف سازش شامل آهن."
پاڪستان پينل ڪوڊ ڇا آهي؟,پاڪستان پينل ڪوڊ پاڪستان جو اهم فوجداري قانون آهي.
سرقہ جي تعزیرات ڇا آهن؟,چوري لاءِ پاڪستان پينل ڪوڊ ۾ مختلف سزائون مقرر ٿيل آهن.
جيڪڏھن ڪو شخص ملڪيت سان بدديانتي ڪري ته ڇا ٿيندو؟,جيڪڏھن ڪو شخص ملڪيت ۾ بدديانتي ڪري ته کيس قانوني سزا ٿي سگھي ٿي.
ملڪيت جي حفاظت ڇا آهي؟,ملڪيت جي حفاظت جا قانون چوري ۽ نقصان کان بچائڻ لاءِ ٺاهيا ويا آهن.
پاڪستان ۾ چوري لاءِ سزائون ڇا آهن؟,پاڪستان جي قانون تحت چوري جي سزا ٽن سالن تائين قيد يا ڏنڊ ٿي سگهي ٿي.
چوري جي سزائون ڪيئن آهن؟,"سزا ٽي سال قيد، يا ڏنڊ، يا ٻئي. ڏهه سال قيد، يا عمر قيد."
پاڪستان ۾ اغوا جي سزائن جا مثال ڇا آهن؟,2021ع ۾ هڪ شخص کي ڪار چوري ۽ اغوا تي 10 سال قيد ۽ 5 لک رپيا ڏنڊ پيو.
پي پي سي هيٺ اغوا جا اهم قسم ۽ سزائون ڇا آهن؟,"پي پي سي هيٺ: ٻار اغوا، قتل يا بليڪ ميل لاءِ اغوا، جن تي قيد ۽ ڏنڊ جي سزا آهي."
پاڪستان ۾ اغوا جي سزا جو قسم ڇا آهي؟,"پاڪستان ۾ اغوا جي سزا گهٽ ۾ گهٽ 7 سال ۽ وڌ ۾ وڌ 25 سال قيد آهي، گڏوگڏ ڏنڊ به ٿي سگهي ٿو."
بغاوت ۽ غداري جي سزا ڇا آهي؟,بغاوت ۽ غداري ٻنهي جي سزا موت يا عمر قيد آهي.
ڏنڊ جي رقم ڪير طئي ڪندو؟,ڏنڊ جي رقم عدالت ڪيس ۽ حالتن مطابق طئي ڪندي.
پي پي سي ۾ بغاوت ۽ غداري جي سزا ڇا آهي؟,پي پي سي ۾ بغاوت تي مدد تي 10 سال قيد ۽ سازش تي 7 سال قيد آهي.
پاڪستاني قانون ۾ بغاوت ۽ غداري جي سزا ڇو سخت آهي؟,رياست جي تحفظ لاءِ بغاوت ۽ غداري جي سزا سخت آهي ته جيئن اهڙا ڏوهه روڪيا وڃن.
پي پي سي ۾ بغاوت ۽ غداري جا ڪهڙا سيڪشن شامل آهن؟,"پي پي سي ۾ سيڪشن 121، 122، 123، 124 بغاوت ۽ غداري لاءِ شامل آهن."
ملڪيت جي چوري جا ڏوهه ڇا آهن؟,ملڪيت جي چوري جا ڏوهه اهي آهن جيڪي ملڪيت کي نقصان يا چوري لاءِ ڪيا وڃن ٿا.
وفاقي ملڪيت جي چوري ۾ ڪهڙا ڏوهه شامل آهن؟,"سرحد پار سامان، سرڪاري ۽ فوجي ملڪيت جي چوري وفاقي ڏوهه آهن."
ملڪيت کي محفوظ ڪرڻ لاءِ ڪهڙا قدم کڻي سگهجن ٿا؟,"دروازا ۽ دريون بند رکو، حفاظتي نظام لڳايو، قيمتي شيون محفوظ رکو."
پنهنجو چوڌاري آگاهه رهڻ لاءِ ڪهڙا قدم کڻي سگهجن ٿا؟,"ٻاهر نڪرڻ وقت محتاط رهو، چوڌاري نظر رکو، مشڪوڪ حرڪت رپورٽ ڪريو."
ملڪيت جو سٺو حساب رکڻ لاءِ ڪهڙا قدم کڻي سگهجن ٿا؟,"ملڪيت جي لسٽ ٺاهيو، تصويرون وٺو، قيمت ڄاڻو."
ملڪيت جي چوري جا مثال ڇا آهن؟,"گهر، دڪان، يا زمين جي چوري جا مثال آهن."
ملڪيت جي چوري جي ڏوهن جون سزائون ڇا آهن؟,انهن ڏوهن جون سزائون قانون ۽ هنڌ مطابق مختلف ٿي سگهن ٿيون.
استحصال جي سزا ڪهڙن قانونن تحت مختلف ٿي سگهن ٿيون؟,استحصال جي سزا ملڪ جي قانون ۽ عدالت تي منحصر آهي.
سرقو بالجبر ڇا آهي؟,سرقو بالجبر اهو ڏوهه آهي جنهن ۾ زبردستي يا ڌمڪي سان ملڪيت وٺي وڃي.
سرقو بالجبر جي سزا ڇا آهي؟,عام طور تي سرقو بالجبر جي سزا 1 کان 5 سال قيد يا ڏنڊ يا ٻئي ٿي سگهي ٿي.
سرقو بالجبر تي گرفتار ٿيڻ تي ڇا ڪرڻ گهرجي؟,فوراً وڪيل سان رابطو ڪريو ته جيئن حقن جو تحفظ ٿي سگهي.
سرقو بالجبر جو شڪار ٿيڻ تي ڇا ڪرڻ گهرجي؟,فوراً پوليس ۽ وڪيل سان رابطو ڪريو ته قانوني مدد ملي سگهي.
سرقو بالجبر جون سزائون ڪيئن ورهايل آهن؟,"سزائون جرم جي شدت مطابق، قيد ۽ ڏنڊ طور ٿي سگهن ٿيون."
پاڪستان ۾ سرقو بالجبر کي ڪهڙي قانون تحت ڏوهه قرار ڏنو ويو آهي؟,پاڪستان پينل ڪوڊ هيٺ سرقو بالجبر ڏوهه آهي.
معلومات ڪيئن حاصل ڪجي؟,مقامي قانون ۽ عدالت سان رابطو ڪريو ته معلومات ملي سگهي ٿي.
سازش مجرمانه ڇا آهي؟,"سازش مجرمانه اهو ڏوهه آهي جنهن ۾ ٻه يا وڌيڪ ماڻهو ڏوهه جي منصوبا بندي ڪن، ڀلي ڏوهه ٿيو نه هجي."
سازش مجرمانه جي سزا ڪيتري آهي؟,"سزا 1 کان 5 سال قيد يا ڏنڊ يا ٻئي ٿي سگھي ٿي، ملڪ جي قانون تي دارومدار آهي."
سازش مجرمانه الزام لڳڻ تي ڇا ڪجي؟,فوراً وڪيل سان رابطو ڪريو ته حقن جو تحفظ ٿئي.
پاڪستان ۾ سازش مجرمانه جي سزا ڇا آهي؟,"ملڪن جي قانوني نظام تحت، سازشي ڏوھ جي سزا قانوني طريقيڪار ۽ مقامي قانونن تي دارومدار رکي ٿي. عام طور سازشي ڏوھ لاءِ مختلف سزائون ٿي سگهن ٿيون جيڪي ڏوھ جي سنگيني، خطري ۽ اثرن تي دارومدار رکن ٿيون."
پاڪستان ۾ استحصال بالجبر ڇا آهي؟,"پاڪستان ۾ استحصال بالجبر هڪ سنگين ڏوهه آهي، جنهن ۾ ڪنهن کي زبردستي يا ڌمڪي سان جنسي عمل تي مجبور ڪيو وڃي ٿو. سزا 7 سالن کان عمر قيد تائين ٿي سگهي ٿي."
پاڪستان ۾ استحصال بالجبر لاءِ ڪهڙا قانون موجود آهن؟,"پاڪستان پينل ڪوڊ جي دفعي 376، 376A، 376B سميت ڪيترائي قانون موجود آهن، جيڪي مختلف حالتن ۾ انصاف ڪن ٿا."
پاڪستان ۾ قانون جي عمل لاءِ ڪهڙا ادارا آهن؟,"پوليس، ايف آءِ اي، انسداد منشيات بيورو، داخلہ ۽ عدليه جا کاتا جاچ ۽ ڪارروائي ڪن ٿا."
استحصال بالجبر ڇا آهي ۽ ڪهڙي قسم جو ڏوهه آهي؟,"استحصال هڪ سنگين ڏوهه آهي، جيڪو انساني حقن ۽ قانونن جي خلاف ورزي آهي، اسلامي ۽ پاڪستاني قانون هيٺ ناجائز آهي."
رشوت ڇا آهي ۽ ان جي سزا ڇا آهي؟,"رشوت ڏيڻ يا وٺڻ ڏوهه آهي، جنهن جي سزا قيد، ڏنڊ يا ٻئي ٿي سگهن ٿا."
.پي پي سي ۾ ڪهڙا ڏوهه شامل آهن؟,"پي پي سي ۾ سرڪاري ملازمن لاءِ ڪرپشن، رشوت، ڌمڪي، اختيار جو ناجائز استعمال وغيره ڏوهه شامل آهن."
سرڪاري ملازمن جا ڏوهه ۽ سزا ڇا آهن؟,"سرڪاري ملازمن جا ڏوهه تي سزا زندگي قيد، ڏنڊ يا ٻئي ٿي سگهن ٿا."
جيلن ۾ قيدين کان ٿيل ڏوهه جي سزا ڇا آهي؟,"قيدين جي ڏوهه تي سزا موت، عمر قيد، ڏنڊ يا جسماني سزا ٿي سگهي ٿي."
.قيدين لاءِ سهولتون ڇا آهن؟,"قيدين لاءِ حفاظت، تربيت، تعليم، پيشه ورانه پروگرام ۽ نفسياتي سهولتون آهن."
قتل ڇا آهي؟,"قتل ڪنهن جي جان وٺڻ آهي، سزا قانون موجب موت يا قيد ٿي سگهي ٿي."
زنا ڇا آهي؟,"زنا غير شرعي جنسي عمل آهي، رضا مندي کان سواءِ حملي تي ملزم کي سزا ملي ٿي."
چوري ڇا آهي؟,"چوري ڪنهن جي ملڪيت کي بغير اجازت وٺڻ آهي، چور کي سزا ملي ٿي."
مالي ڪرپشن ڇا آهي؟,"مالي ڪرپشن بدعنواني يا غلط عمل آهي، جنهن جي سزا قانون موجب آهي."
دارالاصلاح ۾ ڪير رهن ٿا؟,دارالاصلاح ۾ نوجوان يا مجرم تربيت ۽ سڌاري لاءِ رهن ٿا ته جيئن معاشري ۾ واپس وڃن.
دارالاصلاح ۾ ڇا ملي ٿو؟,"هتي رهائش، تعليم، ديني تربيت، فنون، فني واپار ۽ ٻيون سهولتون ملن ٿيون."
ارادي قتل ڇا آهي ۽ سزا ڇا آهي؟,"سوچ ويچار سان قتل ڪرڻ ارادي قتل آهي، جنهن جي سزا موت يا عمر قيد آهي."
غير ارادي قتل ڇا آهي ۽ سزا ڇا آهي؟,"حادثاتي يا اڻڄاتل قتل، جنهن جي سزا قيد ٿي سگهي ٿي."
ارادي قتل جي سزا ڇا آهي؟,ارادي قتل جي سزا موت يا عمر قيد آهي.
غير ارادي قتل جي سزا ڇا آهي؟,غير ارادي قتل جي سزا قيد ٿي سگهي ٿي.
قتل بدل جي سزا ڇا آهي؟,قتل بدل جي سزا قيد يا ڏنڊ ٿي سگهي ٿي.
2009 جو اليڪٽرانڪ جرم آرڊيننس ڇا آهي؟,"2009 جو آرڊيننس پاڪستان ۾ سائبر ڪرائيم، چوري ۽ جعلسازي خلاف قانون آهي."
2009 جي آرڊيننس ۾ ڪهڙا ڏوهه شامل آهن؟,"هتي ڊجيٽل جارحيت، چوري، جعلسازي سميت ڪيترائي ڏوهه شامل آهن."
